inputId,seed,decisionId,agreement,classicBins,replayBins,classicUtilisation,replayUtilisation,materialOutcome,geometryValid
concave,1,d0,false,2,3,0.5141250000000005,0.3427500000000003,worse,true
concave,42,d0,true,2,2,0.5141250000000005,0.5141250000000005,tie,true
irregular,1,d0,true,2,2,0.5479999999999999,0.5479999999999999,tie,true
irregular,42,d0,true,2,2,0.5479999999999998,0.5479999999999998,tie,true
mixed-curves,1,d0,true,3,3,0.46410926010297854,0.46410926010297854,tie,true
mixed-curves,42,d0,true,3,3,0.46410926010297865,0.46410926010297865,tie,true
overflow,1,d0,true,3,3,0.5344588744588744,0.5344588744588744,tie,true
overflow,42,d0,true,3,3,0.534458874458874,0.534458874458874,tie,true
rectangles,1,d0,true,2,2,0.76375,0.76375,tie,true
rectangles,42,d0,true,2,2,0.7637499999999999,0.7637499999999999,tie,true
concave,1,d1,true,2,2,0.5141250000000005,0.5141250000000005,tie,true
concave,42,d1,true,2,2,0.5141250000000005,0.5141250000000005,tie,true
irregular,1,d1,true,2,2,0.5479999999999999,0.5479999999999999,tie,true
irregular,42,d1,true,2,2,0.5479999999999998,0.5479999999999998,tie,true
mixed-curves,1,d1,true,3,3,0.46410926010297854,0.46410926010297854,tie,true
mixed-curves,42,d1,true,3,3,0.46410926010297865,0.46410926010297865,tie,true
overflow,1,d1,true,3,3,0.5344588744588744,0.5344588744588744,tie,true
overflow,42,d1,true,3,3,0.534458874458874,0.534458874458874,tie,true
rectangles,1,d1,true,2,2,0.76375,0.76375,tie,true
rectangles,42,d1,true,2,2,0.7637499999999999,0.7637499999999999,tie,true
