job,seed,policy,bins,unplaced,utilisation,runtimeMs,nfpMs,scoreLoopsMs,apiMs
hard-01,1,classic,3,0,0.4650587172538392,176.64099999999996,146.3465,1.0170999999997434,0
hard-01,1,contact,3,0,0.4650587172538392,169.39699999999993,129.7527,1.9985999999989872,0
hard-01,1,ga,3,0,0.4650587172538392,6791.579699999999,6203.603700000002,17.164900000014768,0
hard-01,1,jev,3,0,0.4650587172538392,6757.764599999999,137.61949999999996,2.1958999999997104,6549.726399999999
hard-01,2,classic,3,0,0.4650587172538392,145.52000000000044,126.2476000000006,0.8832999999958702,0
hard-01,2,contact,3,0,0.4650587172538392,160.1766000000007,126.4982,2.0969999999979336,0
hard-01,2,ga,3,0,0.4650587172538392,5422.990000000002,4996.857700000006,12.612600000013117,0
hard-01,2,jev,3,0,0.4650587172538392,5401.127499999999,128.5555000000004,1.9987999999975727,5200.898800000001
hard-01,3,classic,3,0,0.4650587172538392,148.46540000000095,126.3208999999988,0.9944999999934225,0
hard-01,3,contact,3,0,0.4650587172538392,160.93379999999888,125.60829999999987,1.9377000000094995,0
hard-01,3,ga,3,0,0.4650587172538392,5702.384099999999,5201.29210000001,13.473900000040885,0
hard-01,3,jev,3,0,0.4650587172538392,5665.1296,128.54910000000018,2.2171999999955005,5464.3836999999985
hard-01,4,classic,3,0,0.4650587172538392,143.10139999999956,122.45990000000165,0.8525000000081491,0
hard-01,4,contact,3,0,0.4650587172538392,157.80299999999988,124.56240000000253,2.0872999999846797,0
hard-01,4,ga,3,0,0.4650587172538392,5788.916799999999,5296.560800000007,13.731500000008964,0
hard-01,4,jev,3,0,0.4650587172538392,5713.4259999999995,125.40380000000005,2.0759000000034575,5520.083099999989
hard-01,5,classic,3,0,0.4650587172538392,153.4667999999947,130.8324999999968,1.0665999999910127,0
hard-01,5,contact,3,0,0.4650587172538392,167.70249999999942,133.1356999999989,1.8426000000035856,0
hard-01,5,ga,3,0,0.4650587172538392,5634.3874,5182.020300000018,12.719900000105554,0
hard-01,5,jev,3,0,0.4650587172538392,5610.369999999995,135.2364000000016,2.3092999999935273,5399.409399999997
hard-02,1,classic,4,0,0.4088599274268017,2494.844100000002,2426.761200000008,2.858900000079302,0
hard-02,1,contact,3,0,0.5451465699024024,2414.9141999999993,2318.5497999999934,4.596200000029057,0
hard-02,1,ga,3,0,0.5451465699024024,11980.914099999995,11521.755800000014,12.856500000038068,0
hard-02,1,jev,3,0,0.5451465699024024,10693.355900000002,2289.2483000000066,5.751900000017486,8216.561799999967
hard-02,2,classic,3,0,0.5451465699024024,2439.547900000005,2374.288799999995,3.1180000000458676,0
hard-02,2,contact,3,0,0.5451465699024024,2486.155899999998,2397.415399999998,4.114800000010291,0
hard-02,2,ga,3,0,0.5451465699024024,11843.859500000006,11452.401300000012,10.47850000015751,0
hard-02,2,jev,3,0,0.5451465699024024,10445.665599999993,2299.5531000000046,5.891800000012154,7972.561899999986
hard-02,3,classic,3,0,0.5451465699024024,2491.831699999995,2428.060799999992,3.131100000056904,0
hard-02,3,contact,4,0,0.40885992742680183,2669.173600000009,2575.638300000006,4.019399999990128,0
hard-02,3,ga,3,0,0.5451465699024024,12478.777400000006,12059.671899999987,13.930500000002212,0
hard-02,3,jev,3,0,0.5451465699024024,11403.554899999988,2448.230899999995,8.035000000018044,8751.125599999985
hard-02,4,classic,3,0,0.5451465699024024,2757.2422999999835,2659.7183000000077,3.3607999999949243,0
hard-02,4,contact,4,0,0.4088599274268017,2563.4518999999855,2470.3322000000044,4.412799999990966,0
hard-02,4,ga,3,0,0.5451465699024024,12038.136999999988,11661.509099999967,10.699100000405451,0
hard-02,4,jev,3,0,0.5451465699024024,10971.709299999988,2666.970399999991,6.776299999910407,8105.48060000001
hard-02,5,classic,3,0,0.5451465699024024,2403.7504999999946,2343.526500000007,3.103900000016438,0
hard-02,5,contact,3,0,0.5451465699024024,2588.70689999999,2500.1598999999987,4.407499999913853,0
hard-02,5,ga,3,0,0.5451465699024024,12347.911000000022,11943.349600000045,10.520300000003772,0
hard-02,5,jev,3,0,0.5451465699024024,11583.739499999996,2550.7004000000015,7.298100000014529,8833.34209999995
hard-03,1,classic,4,0,0.4638066408542976,1933.397800000006,1845.923700000014,3.6497999999846797,0
hard-03,1,contact,4,0,0.4638066408542976,1936.928899999999,1818.9158999999927,5.577099999907659,0
hard-03,1,ga,4,0,0.4638066408542976,13684.842000000004,12787.861900000018,13.804599999799393,0
hard-03,1,jev,3,0,0.6184088544723969,13585.567500000005,1802.7720000000263,9.960100000113016,11541.086899999995
hard-03,2,classic,3,0,0.6184088544723969,1912.2643000000098,1829.4732999999833,3.231599999999162,0
hard-03,2,contact,4,0,0.4638066408542976,1898.5446999999986,1790.8853000000236,5.981499999877997,0
hard-03,2,ga,3,0,0.6184088544723969,13043.694599999988,12372.969399999973,12.151899999706075,0
hard-03,2,jev,3,0,0.6184088544723969,13035.266999999993,1811.5200000000186,7.148299999913434,10999.18180000002
hard-03,3,classic,4,0,0.4638066408542976,2116.5509999999776,2007.578199999989,3.8059000000939704,0
hard-03,3,contact,4,0,0.4638066408542976,2034.5237999999663,1909.9756000000052,5.5627000000094995,0
hard-03,3,ga,4,0,0.4638066408542976,14076.842500000028,13341.359800000151,11.06839999963995,0
hard-03,3,jev,4,0,0.4638066408542976,12982.768899999995,2530.1689000000188,6.675999999861233,10230.525399999751
hard-03,4,classic,4,0,0.4638066408542976,1840.685300000012,1754.8859999999986,3.7579000000841916,0
hard-03,4,contact,4,0,0.4638066408542976,1853.2790999999852,1745.6253000000142,5.080699999933131,0
hard-03,4,ga,3,0,0.6184088544723969,13639.665500000003,12907.17929999996,15.478599999798462,0
hard-03,4,jev,4,0,0.4638066408542976,13195.157200000016,2178.225600000005,7.0163000000757165,10729.166499999992
